Ref,Val,Package,PosX,PosY,Rot,Side
"C22","10uF","C_0603_1608Metric",-142.050000,48.800000,90.000000,bottom
"C23","10uF","C_0603_1608Metric",-142.100000,43.350000,90.000000,bottom
"C29","4.7uF","C_0603_1608Metric",-146.550000,16.400000,90.000000,bottom
"C30","0.1uF","C_0402_1005Metric",-144.550000,16.400000,90.000000,bottom
"C34","1uF","C_0603_1608Metric",-145.400000,28.400000,0.000000,bottom
"C35","1uF","C_0603_1608Metric",-145.450000,23.200000,0.000000,bottom
"C38","1uF","C_0603_1608Metric",-145.450000,34.300000,0.000000,bottom
"C39","1uF","C_0603_1608Metric",-145.500000,39.850000,0.000000,bottom
"C40","0.1uF","C_0402_1005Metric",-143.325000,42.775000,-90.000000,bottom
"C41","0.1uF","C_0402_1005Metric",-143.325000,48.225000,-90.000000,bottom
"D2","SFH_4045N","LED_SFH_4045N",-140.400000,26.900000,0.000000,bottom
"D3","SFH_4045N","LED_SFH_4045N",-140.502500,21.700000,0.000000,bottom
"D4","SFH_4045N","LED_SFH_4045N",-140.452500,32.750000,0.000000,bottom
"D5","SFH_4045N","LED_SFH_4045N",-140.500000,38.350000,0.000000,bottom
"M2","motor","motor",-113.025000,49.125000,90.000000,bottom
"R5","4.7k","R_0402_1005Metric",-143.675000,45.600000,0.000000,bottom
"R6","10k","R_0402_1005Metric",-146.000000,26.600000,90.000000,bottom
"R8","4.7k","R_0402_1005Metric",-143.675000,44.575000,0.000000,bottom
"R9","4.7k","R_0402_1005Metric",-143.600000,50.300000,0.000000,bottom
"R10","4.7k","R_0402_1005Metric",-143.600000,51.325000,0.000000,bottom
"R11","10k","R_0402_1005Metric",-146.025000,21.200000,90.000000,bottom
"R13","10k","R_0402_1005Metric",-146.050000,32.500000,90.000000,bottom
"R22","10k","R_0402_1005Metric",-146.100000,38.050000,90.000000,bottom
