Ref,Val,Package,PosX,PosY,Rot,Side
"A1","SFH_3015_FA","XDCR_SFH_3015_FA",140.400000,26.900000,0.000000,top
"A2","SFH_3015_FA","XDCR_SFH_3015_FA",140.500000,21.700000,0.000000,top
"A3","SFH_3015_FA","XDCR_SFH_3015_FA",140.450000,32.750000,0.000000,top
"A4","SFH_3015_FA","XDCR_SFH_3015_FA",140.500000,38.350000,0.000000,top
"BZ1","Buzzer","XDCR_SMT-0440-T-R",132.700000,21.000000,90.000000,top
"C1","2.2uF","C_0603_1608Metric",96.400000,30.900000,180.000000,top
"C2","2.2uF","C_0603_1608Metric",108.500000,24.600000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",127.900000,50.400000,90.000000,top
"C4","0.1uF","C_0402_1005Metric",127.700000,16.300000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",146.000000,26.600000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",146.050000,21.400000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",97.400000,36.300000,90.000000,top
"C8","10uF","C_0603_1608Metric",133.800000,36.900000,180.000000,top
"C9","0.1uF","C_0402_1005Metric",97.400000,29.000000,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",110.100000,26.700000,-90.000000,top
"C11","20pF","C_0402_1005Metric",105.300000,44.700000,180.000000,top
"C12","1uF","C_0603_1608Metric",111.300000,46.800000,-90.000000,top
"C13","22uF","C_0603_1608Metric",130.200000,36.900000,0.000000,top
"C14","0.1uF","C_0402_1005Metric",113.000000,37.000000,0.000000,top
"C15","20pF","C_0402_1005Metric",102.400000,42.200000,90.000000,top
"C16","0.1uF","C_0402_1005Metric",112.200000,38.200000,0.000000,top
"C17","0.01uF","C_0402_1005Metric",99.675000,42.425000,180.000000,top
"C18","10uF","C_0603_1608Metric",111.800000,39.700000,0.000000,top
"C19","1uF","C_0603_1608Metric",99.500000,40.400000,-90.000000,top
"C20","12.5pF","C_0402_1005Metric",111.690000,41.660000,0.000000,top
"C21","12.5pF","C_0402_1005Metric",111.680000,44.150000,0.000000,top
"C24","0.1uF","C_0402_1005Metric",134.400000,38.500000,180.000000,top
"C25","0.1uF","C_0402_1005Metric",129.900000,38.500000,0.000000,top
"C26","0.01uF","C_0402_1005Metric",119.300000,30.300000,180.000000,top
"C27","2.2uF","C_0603_1608Metric",128.200000,34.000000,-90.000000,top
"C28","10uF","C_0603_1608Metric",126.500000,28.400000,0.000000,top
"C31","0.01uF","C_0402_1005Metric",119.400000,32.100000,-90.000000,top
"C32","0.1uF","C_0402_1005Metric",119.900000,33.900000,180.000000,top
"C33","0.1uF","C_0402_1005Metric",116.500000,36.100000,180.000000,top
"C36","0.1uF","C_0402_1005Metric",146.050000,32.500000,90.000000,top
"C37","0.1uF","C_0402_1005Metric",146.100000,38.050000,90.000000,top
"D1","LED","LED_0402_1005Metric",129.900000,39.900000,180.000000,top
"D6","LED","LED_0402_1005Metric",106.300000,25.100000,90.000000,top
"FB1","120R","L_0805_2012Metric",97.600000,40.600000,90.000000,top
"J1","Conn_01x04_Male","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",105.200000,17.900000,180.000000,top
"J2","Conn_01x02_Female","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",130.750000,44.900000,0.000000,top
"J3","BLE_Conn","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",105.200000,48.800000,0.000000,top
"J4","AS5600_Left","STAND_SLAVE_04",147.750000,44.000000,90.000000,top
"J5","AS5600_Right","STAND_SLAVE_04",147.870000,49.600000,90.000000,top
"J6","IR_1","IR_SLAVE_V_04",147.800000,26.600000,90.000000,top
"J7","IR_3","IR_SLAVE_V_04",147.800000,21.400000,90.000000,top
"J8","IR_2","IR_SLAVE_V_04",147.850000,32.450000,90.000000,top
"J9","IR_4","IR_SLAVE_V_04",147.800000,38.050000,90.000000,top
"J10","IR_1","IR_HOST_V_04",97.800000,22.300000,-80.000000,top
"J11","AS5600_1","STAND_HOST_04",116.500000,38.300000,180.000000,top
"J12","IR_2","IR_HOST_V_04",94.750000,27.300000,-21.500000,top
"J13","AS5600_2","STAND_HOST_04",116.500000,28.300000,0.000000,top
"J14","IR_3","IR_HOST_V_04",94.750000,39.300000,-158.500000,top
"J15","ToF","STAND_HOST_04",93.250000,33.300000,-90.000000,top
"J16","IR_4","IR_HOST_V_04",97.750000,44.300000,-100.000000,top
"J17","ToF","STAND_SLAVE_04",147.850000,16.400000,90.000000,top
"M1","motor","motor",112.975000,17.425000,-90.000000,top
