Ref,Val,Package,PosX,PosY,Rot,Side
"A1","SFH_3015_FA","XDCR_SFH_3015_FA",-140.150000,38.050000,0.000000,bottom
"A2","SFH_3015_FA","XDCR_SFH_3015_FA",-140.150000,32.700000,0.000000,bottom
"C22","10uF","C_0603_1608Metric",-142.050000,48.800000,90.000000,bottom
"C23","10uF","C_0603_1608Metric",-142.100000,43.350000,90.000000,bottom
"C29","4.7uF","C_0603_1608Metric",-146.550000,15.850000,90.000000,bottom
"C30","0.1uF","C_0402_1005Metric",-145.350000,16.850000,90.000000,bottom
"C37","1uF","C_0603_1608Metric",-143.250000,23.050000,180.000000,bottom
"C38","1uF","C_0603_1608Metric",-143.250000,28.950000,180.000000,bottom
"C40","0.1uF","C_0402_1005Metric",-143.325000,42.775000,-90.000000,bottom
"C41","0.1uF","C_0402_1005Metric",-143.325000,48.225000,-90.000000,bottom
"D4","SFH_4045N","LED_SFH_4045N",-140.050000,27.250000,180.000000,bottom
"D5","SFH_4045N","LED_SFH_4045N",-140.050000,21.350000,180.000000,bottom
"M2","motor","motor",-113.025000,49.125000,90.000000,bottom
"Q4","DMN3065LW-7","SOT-323_SC-70",-143.400000,26.650000,-90.000000,bottom
"Q5","DMN3065LW-7","SOT-323_SC-70",-143.400000,20.750000,-90.000000,bottom
"R5","4.7k","R_0402_1005Metric",-143.675000,45.600000,0.000000,bottom
"R6","10k","R_0402_1005Metric",-140.150000,39.750000,0.000000,bottom
"R8","4.7k","R_0402_1005Metric",-143.675000,44.575000,0.000000,bottom
"R9","4.7k","R_0402_1005Metric",-143.600000,50.300000,0.000000,bottom
"R10","4.7k","R_0402_1005Metric",-143.600000,51.325000,0.000000,bottom
"R11","10k","R_0402_1005Metric",-140.150000,34.400000,0.000000,bottom
"R14","4.7k","R_0402_1005Metric",-141.850000,16.750000,180.000000,bottom
"R15","4.7k","R_0402_1005Metric",-141.850000,14.850000,180.000000,bottom
"R23","100","R_0603_1608Metric",-139.600000,28.950000,0.000000,bottom
"R24","100","R_0603_1608Metric",-139.450000,23.050000,0.000000,bottom
"R32","4.7k","R_0402_1005Metric",-143.850000,16.750000,180.000000,bottom
"R33","4.7k","R_0402_1005Metric",-143.850000,14.850000,180.000000,bottom
